t_s,gz_filt_dps,ax_filt_mms2,ay_filt_mms2,az_filt_mms2,ax_raw_mms2,ay_raw_mms2,az_raw_mms2
5.9140,-83.8254,939.55,8953.50,1034.00,-1894.64,9466.36,-14524.63
5.9250,-75.7898,939.55,8108.71,1905.93,-10197.94,3321.51,5393.66
5.9350,-66.6369,939.55,8108.71,1905.93,-13218.38,21822.74,24808.86
5.9450,-58.7389,939.55,8108.71,3118.33,-18807.19,26636.82,7967.90
5.9550,-49.7662,939.55,8108.71,3507.29,-17572.54,24009.62,5063.17
5.9660,-42.6034,458.81,7729.40,3507.29,-1464.13,5579.98,-4569.90
5.9760,-33.8304,-534.57,8029.36,2694.82,-4508.12,9729.18,-555.06
5.9860,-27.1433,-1135.90,8269.92,2213.33,-3541.18,9633.07,287.33
5.9960,-19.1233,-2653.52,8269.92,2213.33,-8724.00,14777.64,-11816.03
6.0070,-10.4224,-3991.18,8530.44,1659.65,-9341.81,10006.71,-555.06
6.0170,-4.2477,-4740.63,8546.53,2647.70,-7738.43,8637.70,6599.88
6.0270,4.9886,-5804.43,8546.53,2647.70,-10059.66,15734.77,-7508.95
6.0370,10.9710,-5627.55,9364.25,2647.70,-4920.00,13998.01,-5360.31
6.0480,20.5557,-4763.29,9364.25,2260.74,-1306.25,-4416.92,712.94
6.0580,25.1229,-4763.29,9364.25,2260.74,51766.36,1689.69,24483.28
6.0680,26.7450,-4172.49,9364.25,1579.90,-1809.33,-10236.18,-1143.46
6.0780,34.7895,-2677.62,10153.31,1579.90,3301.90,14624.66,11078.57
6.0890,41.3026,-3933.77,10946.84,1579.90,-8958.37,15443.51,-9834.11
6.0990,48.2138,-4098.46,10946.84,2166.53,-4757.21,-2421.26,4513.02
6.1090,51.6446,-3848.33,10946.84,2166.53,-2847.85,3364.66,-8815.20
6.1190,56.2932,-3366.79,10490.00,3134.40,-1440.60,7901.22,7005.87
6.1300,58.4972,-3299.28,10490.00,1711.22,-3029.27,17243.03,-3981.50
6.1400,63.7570,-4603.50,10768.48,2159.59,-9820.38,12346.57,3953.06
6.1500,68.9719,-4219.81,11056.24,1719.04,-2685.06,12686.86,-43.15
6.1600,71.0473,-4358.87,10696.40,1600.20,-4915.09,8657.31,1124.82
6.1700,76.3641,-4424.22,10877.88,2343.59,-4685.62,11906.25,5317.17
6.1810,79.5608,-3466.61,10217.50,992.47,363.83,6475.33,-4412.01
6.1910,82.2185,-2485.17,10066.73,1997.06,1440.60,9212.37,6015.40
6.2010,83.0710,-3110.80,10424.59,1812.02,-5613.33,12452.48,1071.87
6.2110,86.2086,-3690.74,10758.93,2693.88,-6010.50,12653.52,6221.34
6.2220,88.7410,-3542.17,9925.46,2133.14,-2947.88,5202.43,-109.83
6.2320,91.4377,-3326.62,10227.72,1717.10,-2464.41,11940.58,52.96
6.2420,92.4433,-2644.03,10056.74,1169.90,86.30,9087.82,-1018.91
